name,value,year,lastValue,rank,tid
Kristaps Porzingis,8.4,2021-11-19,7.81,7,#1452b4
Jusuf Nurkic,8.07,2021-11-19,8.07,8,#cc0a2c
OG Anunoby,7.71,2021-11-19,7.71,9,#bc0f33
Clint Capela,7.65,2021-11-19,7.65,10,#cc062c
Nikola Jokic,17.81,2021-11-20,17.81,1,#fcc624
Giannis Antetokounmpo,14.85,2021-11-20,14.66,2,#2c4e3c
Rudy Gobert,12.53,2021-11-20,12.58,3,#244e34
Jonas Valanciunas,11.76,2021-11-20,11.89,4,#0c223c
Luka Doncic,11.57,2021-11-20,11.57,5,#1452b4
Nikola Vucevic,8.97,2021-11-20,8.97,6,#bc062c
Kristaps Porzingis,8.4,2021-11-20,8.4,7,#1452b4
Jusuf Nurkic,8.18,2021-11-20,8.07,8,#cc0a2c
Clint Capela,8.02,2021-11-20,7.65,9,#cc062c
OG Anunoby,7.71,2021-11-20,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-21,17.81,1,#fcc624
Giannis Antetokounmpo,14.85,2021-11-21,14.85,2,#2c4e3c
Rudy Gobert,12.53,2021-11-21,12.53,3,#244e34
Jonas Valanciunas,11.76,2021-11-21,11.76,4,#0c223c
Luka Doncic,11.57,2021-11-21,11.57,5,#1452b4
Nikola Vucevic,8.97,2021-11-21,8.97,6,#bc062c
Kristaps Porzingis,8.82,2021-11-21,8.4,7,#1452b4
Jusuf Nurkic,8.18,2021-11-21,8.18,8,#cc0a2c
Clint Capela,8.02,2021-11-21,8.02,9,#cc062c
OG Anunoby,7.71,2021-11-21,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-22,17.81,1,#fcc624
Giannis Antetokounmpo,14.49,2021-11-22,14.85,2,#2c4e3c
Rudy Gobert,12.65,2021-11-22,12.53,3,#244e34
Luka Doncic,11.57,2021-11-22,11.57,4,#1452b4
Jonas Valanciunas,11.29,2021-11-22,11.76,5,#0c223c
Nikola Vucevic,8.97,2021-11-22,8.97,6,#bc062c
Kristaps Porzingis,8.82,2021-11-22,8.82,7,#1452b4
Jusuf Nurkic,8.18,2021-11-22,8.18,8,#cc0a2c
Clint Capela,7.92,2021-11-22,8.02,9,#cc062c
OG Anunoby,7.71,2021-11-22,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-23,17.81,1,#fcc624
Giannis Antetokounmpo,14.49,2021-11-23,14.49,2,#2c4e3c
Rudy Gobert,12.65,2021-11-23,12.65,3,#244e34
Luka Doncic,11.77,2021-11-23,11.57,4,#1452b4
Jonas Valanciunas,11.29,2021-11-23,11.29,5,#0c223c
Kristaps Porzingis,9.29,2021-11-23,8.82,6,#1452b4
Nikola Vucevic,8.97,2021-11-23,8.97,7,#bc062c
Jusuf Nurkic,7.97,2021-11-23,8.18,8,#cc0a2c
Clint Capela,7.92,2021-11-23,7.92,9,#cc062c
OG Anunoby,7.71,2021-11-23,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-24,17.81,1,#fcc624
Giannis Antetokounmpo,14.83,2021-11-24,14.49,2,#2c4e3c
Rudy Gobert,12.77,2021-11-24,12.65,3,#244e34
Luka Doncic,11.77,2021-11-24,11.77,4,#1452b4
Jonas Valanciunas,11.19,2021-11-24,11.29,5,#0c223c
Kristaps Porzingis,9.29,2021-11-24,9.29,6,#1452b4
Nikola Vucevic,8.78,2021-11-24,8.97,7,#bc062c
Jusuf Nurkic,8.48,2021-11-24,7.97,8,#cc0a2c
Clint Capela,8.03,2021-11-24,7.92,9,#cc062c
OG Anunoby,7.71,2021-11-24,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-25,17.81,1,#fcc624
Giannis Antetokounmpo,14.83,2021-11-25,14.83,2,#2c4e3c
Rudy Gobert,12.77,2021-11-25,12.77,3,#244e34
Luka Doncic,11.77,2021-11-25,11.77,4,#1452b4
Jonas Valanciunas,11.19,2021-11-25,11.19,5,#0c223c
Kristaps Porzingis,9.29,2021-11-25,9.29,6,#1452b4
Nikola Vucevic,8.78,2021-11-25,8.78,7,#bc062c
Jusuf Nurkic,8.48,2021-11-25,8.48,8,#cc0a2c
Clint Capela,8.03,2021-11-25,8.03,9,#cc062c
OG Anunoby,7.71,2021-11-25,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-26,17.81,1,#fcc624
Giannis Antetokounmpo,14.91,2021-11-26,14.83,2,#2c4e3c
Rudy Gobert,12.34,2021-11-26,12.77,3,#244e34
Luka Doncic,11.77,2021-11-26,11.77,4,#1452b4
Jonas Valanciunas,10.91,2021-11-26,11.19,5,#0c223c
Kristaps Porzingis,9.29,2021-11-26,9.29,6,#1452b4
Nikola Vucevic,8.57,2021-11-26,8.78,7,#bc062c
Jusuf Nurkic,8.37,2021-11-26,8.48,8,#cc0a2c
Clint Capela,8.35,2021-11-26,8.03,9,#cc062c
OG Anunoby,7.71,2021-11-26,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-27,17.81,1,#fcc624
Giannis Antetokounmpo,14.91,2021-11-27,14.91,2,#2c4e3c
Rudy Gobert,11.9,2021-11-27,12.34,3,#244e34
Luka Doncic,11.75,2021-11-27,11.77,4,#1452b4
Jonas Valanciunas,10.78,2021-11-27,10.91,5,#0c223c
Kristaps Porzingis,9.12,2021-11-27,9.29,6,#1452b4
Clint Capela,8.84,2021-11-27,8.35,7,#cc062c
Nikola Vucevic,8.49,2021-11-27,8.57,8,#bc062c
Jusuf Nurkic,8.37,2021-11-27,8.37,9,#cc0a2c
OG Anunoby,7.71,2021-11-27,7.71,10,#bc0f33
Nikola Jokic,17.81,2021-11-28,17.81,1,#fcc624
