name,value,year,lastValue,rank,tid
Timothe Luwawu-Cabarrot,1.0,2021-12-09,1.0,4,#cc062c
Killian Tillie,0.56,2021-12-09,0.59,5,#7c9abc
Joel Ayayi,0.54,2021-12-09,0.54,6,#041e44
Théo Maledon,0.4,2021-12-09,0.4,7,#0472cc
Petr Cornelie,0.03,2021-12-09,0.03,8,#fcc624
Rudy Gobert,11.79,2021-12-10,11.79,1,#244e34
Nicolas Batum,6.46,2021-12-10,6.46,2,#0446ac
Evan Fournier,4.09,2021-12-10,4.16,3,#f46e24
Timothe Luwawu-Cabarrot,0.71,2021-12-10,1.0,4,#cc062c
Théo Maledon,0.68,2021-12-10,0.4,5,#0472cc
Killian Tillie,0.56,2021-12-10,0.56,6,#7c9abc
Joel Ayayi,0.54,2021-12-10,0.54,7,#041e44
Petr Cornelie,0.03,2021-12-10,0.03,8,#fcc624
Rudy Gobert,11.82,2021-12-11,11.79,1,#244e34
Nicolas Batum,6.46,2021-12-11,6.46,2,#0446ac
Evan Fournier,4.09,2021-12-11,4.09,3,#f46e24
Killian Tillie,1.07,2021-12-11,0.56,4,#7c9abc
Timothe Luwawu-Cabarrot,0.71,2021-12-11,0.71,5,#cc062c
Théo Maledon,0.68,2021-12-11,0.68,6,#0472cc
Joel Ayayi,0.53,2021-12-11,0.54,7,#041e44
Petr Cornelie,0.05,2021-12-11,0.03,8,#fcc624
Rudy Gobert,11.82,2021-12-12,11.82,1,#244e34
Nicolas Batum,6.46,2021-12-12,6.46,2,#0446ac
Evan Fournier,3.99,2021-12-12,4.09,3,#f46e24
Killian Tillie,1.07,2021-12-12,1.07,4,#7c9abc
Timothe Luwawu-Cabarrot,0.71,2021-12-12,0.71,5,#cc062c
Théo Maledon,0.59,2021-12-12,0.68,6,#0472cc
Joel Ayayi,0.53,2021-12-12,0.53,7,#041e44
Petr Cornelie,0.05,2021-12-12,0.05,8,#fcc624
Rudy Gobert,11.82,2021-12-13,11.82,1,#244e34
Nicolas Batum,6.46,2021-12-13,6.46,2,#0446ac
Evan Fournier,3.99,2021-12-13,3.99,3,#f46e24
Killian Tillie,1.01,2021-12-13,1.07,4,#7c9abc
Timothe Luwawu-Cabarrot,0.83,2021-12-13,0.71,5,#cc062c
Théo Maledon,0.59,2021-12-13,0.59,6,#0472cc
Joel Ayayi,0.53,2021-12-13,0.53,7,#041e44
Petr Cornelie,0.05,2021-12-13,0.05,8,#fcc624
Rudy Gobert,11.82,2021-12-14,11.82,1,#244e34
Nicolas Batum,6.46,2021-12-14,6.46,2,#0446ac
Evan Fournier,3.82,2021-12-14,3.99,3,#f46e24
Killian Tillie,1.01,2021-12-14,1.01,4,#7c9abc
Timothe Luwawu-Cabarrot,0.83,2021-12-14,0.83,5,#cc062c
Théo Maledon,0.59,2021-12-14,0.59,6,#0472cc
Joel Ayayi,0.53,2021-12-14,0.53,7,#041e44
Petr Cornelie,0.05,2021-12-14,0.05,8,#fcc624
Rudy Gobert,11.94,2021-12-15,11.82,1,#244e34
Nicolas Batum,6.46,2021-12-15,6.46,2,#0446ac
Evan Fournier,3.82,2021-12-15,3.82,3,#f46e24
Killian Tillie,0.98,2021-12-15,1.01,4,#7c9abc
Timothe Luwawu-Cabarrot,0.97,2021-12-15,0.83,5,#cc062c
Théo Maledon,0.53,2021-12-15,0.59,6,#0472cc
Joel Ayayi,0.53,2021-12-15,0.53,7,#041e44
Petr Cornelie,0.25,2021-12-15,0.05,8,#fcc624
Rudy Gobert,11.94,2021-12-16,11.94,1,#244e34
Nicolas Batum,6.46,2021-12-16,6.46,2,#0446ac
Evan Fournier,3.97,2021-12-16,3.82,3,#f46e24
Killian Tillie,0.98,2021-12-16,0.98,4,#7c9abc
Timothe Luwawu-Cabarrot,0.97,2021-12-16,0.97,5,#cc062c
Théo Maledon,0.53,2021-12-16,0.53,6,#0472cc
Joel Ayayi,0.53,2021-12-16,0.53,7,#041e44
Petr Cornelie,0.25,2021-12-16,0.25,8,#fcc624
Rudy Gobert,11.88,2021-12-17,11.94,1,#244e34
Nicolas Batum,6.46,2021-12-17,6.46,2,#0446ac
Evan Fournier,3.97,2021-12-17,3.97,3,#f46e24
Timothe Luwawu-Cabarrot,1.03,2021-12-17,0.97,4,#cc062c
Killian Tillie,1.01,2021-12-17,0.98,5,#7c9abc
Théo Maledon,0.53,2021-12-17,0.53,6,#0472cc
Joel Ayayi,0.53,2021-12-17,0.53,7,#041e44
Petr Cornelie,0.21,2021-12-17,0.25,8,#fcc624
Rudy Gobert,11.92,2021-12-18,11.88,1,#244e34
Nicolas Batum,6.45,2021-12-18,6.46,2,#0446ac
